title,handle,productType,mediaScore,images,minWidth,minHeight,sourceStatus,recoveredSourceId,sourceTags,sourceUrlTags,url
"North & Pearl Iridescent Pendant Necklace","north-pearl-iridescent-pendant-necklace","Necklace","ACCEPTABLE_TEMP","3","1000","1000","EXACT_SOURCE_URL_REQUIRED","","","","https://northandpearl.com/products/north-pearl-iridescent-pendant-necklace"
"North & Pearl Initial Shell Necklace","north-pearl-initial-shell-necklace","Necklace","ACCEPTABLE_TEMP","6","800","800","EXACT_SOURCE_URL_REQUIRED","","","","https://northandpearl.com/products/north-pearl-initial-shell-necklace"
"North & Pearl Heart Keepsake Necklace","north-pearl-heart-keepsake-necklace","Necklace","GOOD","6","1000","1000","EXACT_SOURCE_URL_REQUIRED","","","","https://northandpearl.com/products/north-pearl-heart-keepsake-necklace"
"North & Pearl Flower Nail Bangle","north-pearl-flower-nail-bangle","Bracelet","ACCEPTABLE_TEMP","6","800","800","RECOVERABLE_ID_NEEDS_CONFIRMATION","1601234622131","","","https://northandpearl.com/products/north-pearl-flower-nail-bangle"
"North & Pearl Color Accent Cuff","north-pearl-color-accent-cuff","Bracelet","GOOD","6","1000","1000","EXACT_SOURCE_URL_REQUIRED","","","","https://northandpearl.com/products/north-pearl-color-accent-cuff"
"North & Pearl Sparkle Accent Bracelet","north-pearl-sparkle-accent-bracelet","Bracelet","ACCEPTABLE_TEMP","6","800","800","EXACT_SOURCE_URL_REQUIRED","","","","https://northandpearl.com/products/north-pearl-sparkle-accent-bracelet"
"North & Pearl Bridal Water Drop Set","north-pearl-bridal-water-drop-set","Gift Set","ACCEPTABLE_TEMP","6","800","800","EXACT_SOURCE_URL_REQUIRED","","","","https://northandpearl.com/products/north-pearl-bridal-water-drop-set"
"North & Pearl Hollow Flower Bangle Set","north-pearl-hollow-flower-bangle-set","Bracelet","GOOD","6","1024","1024","RECOVERABLE_ID_NEEDS_CONFIRMATION","1601599046429","","","https://northandpearl.com/products/north-pearl-hollow-flower-bangle-set"
"North & Pearl Sparkle Pulse Bracelet","north-pearl-sparkle-pulse-bracelet","Bracelet","ACCEPTABLE_TEMP","6","800","800","RECOVERABLE_ID_NEEDS_CONFIRMATION","1601403752183","","","https://northandpearl.com/products/north-pearl-sparkle-pulse-bracelet"
"North & Pearl Mixed Charm Bangle","north-pearl-mixed-charm-bangle","Bracelet","ACCEPTABLE_TEMP","6","800","800","RECOVERABLE_ID_NEEDS_CONFIRMATION","1601120166205","","","https://northandpearl.com/products/north-pearl-mixed-charm-bangle"
"North & Pearl Pink Heart Bow Bracelet","north-pearl-pink-heart-bow-bracelet","Bracelet","GOOD","6","1024","1024","RECOVERABLE_ID_NEEDS_CONFIRMATION","1601426024495","","","https://northandpearl.com/products/north-pearl-pink-heart-bow-bracelet"
"North & Pearl Dainty Flower Necklace","north-pearl-dainty-flower-necklace","Necklace","ACCEPTABLE_TEMP","6","800","800","RECOVERABLE_ID_NEEDS_CONFIRMATION","1601469797456","","","https://northandpearl.com/products/north-pearl-dainty-flower-necklace"
"North & Pearl Clover Charm Bracelet","north-pearl-clover-charm-bracelet","Bracelet","GOOD","5","1200","1200","RECOVERABLE_ID_NEEDS_CONFIRMATION","1601536342028","","","https://northandpearl.com/products/north-pearl-clover-charm-bracelet"
"North & Pearl Twine Band Ring","north-pearl-twine-band-ring","Ring","GOOD","6","1000","1000","RECOVERABLE_ID_NEEDS_CONFIRMATION","1601427206777","","","https://northandpearl.com/products/north-pearl-twine-band-ring"
"North & Pearl Warm Bead Stretch Bracelet","north-pearl-warm-bead-stretch-bracelet","Bracelet","GOOD","6","900","900","RECOVERABLE_ID_NEEDS_CONFIRMATION","1601310111350","","","https://northandpearl.com/products/north-pearl-warm-bead-stretch-bracelet"
"North & Pearl Chunky Bead Bracelet","north-pearl-chunky-bead-bracelet","Bracelet","GOOD","6","1000","1000","RECOVERABLE_ID_NEEDS_CONFIRMATION","1601647883963","","","https://northandpearl.com/products/north-pearl-chunky-bead-bracelet"
"North & Pearl V Water Drop Jewelry Set","north-pearl-v-water-drop-jewelry-set","Gift Set","ACCEPTABLE_TEMP","6","800","800","RECOVERABLE_ID_NEEDS_CONFIRMATION","1600828902618","","","https://northandpearl.com/products/north-pearl-v-water-drop-jewelry-set"
