"Title","Handle","Product Type","Images","Min Width","Min Height","Description Length","SEO Title","Meta Description","Issues","Score"
"North & Pearl Bead Bracelet","north-pearl-bead-bracelet","Bracelet","6","900","900","1801","North & Pearl Bead Bracelet | Jewelry Gifts | North & Pearl","Bead Bracelet from North & Pearl, a giftable bracelet for birthdays, anniversaries, bridesmaid gifts, family gifts, friendship moments, and thoughtful self-gifting. Review images, options, care notes, and checkout details before ordering.","","100"
"North & Pearl Bead Earrings","north-pearl-bead-earrings","Earrings","6","1200","1200","1801","North & Pearl Bead Earrings | Jewelry Gifts | North & Pearl","Bead Earrings from North & Pearl, a giftable earrings for birthdays, anniversaries, bridesmaid gifts, family gifts, friendship moments, and thoughtful self-gifting. Review images, options, care notes, and checkout details before ordering.","","100"
"North & Pearl Bead Jewelry Set","north-pearl-bead-jewelry-set","Gift Set","6","1300","1300","1813","North & Pearl Bead Jewelry Set | Jewelry Gifts | North & Pearl","Bead Jewelry Set from North & Pearl, a giftable jewelry set for birthdays, anniversaries, bridesmaid gifts, family gifts, friendship moments, and thoughtful self-gifting. Review images, options, care notes, and checkout details before ordering.","","100"
"North & Pearl Beaded Keepsake Bracelet","north-pearl-bead-bracelet-0492","Bracelet","6","1000","1000","1812","Beaded Keepsake Bracelet | North & Pearl","Beaded Keepsake Bracelet from North & Pearl, a giftable bracelet for birthdays, anniversaries, bridesmaid gifts, family gifts, friendship moments, and thoughtful self-gifting. Review images, options, care notes, and checkout details before ordering.","","100"
"North & Pearl Beaded Layering Necklace","north-pearl-bead-necklace","Necklace","6","1000","1000","1800","Beaded Layering Necklace | North & Pearl","Beaded Layering Necklace from North & Pearl, a giftable ring for birthdays, anniversaries, bridesmaid gifts, family gifts, friendship moments, and thoughtful self-gifting. Review images, options, care notes, and checkout details before ordering.","","100"
"North & Pearl Block Initial Necklace","north-pearl-initial-necklace-3226","Necklace","6","800","800","1852","Block Initial Necklace | North & Pearl","Block Initial Necklace from North & Pearl, a giftable necklace for birthdays, bridesmaid gifts, graduation moments, everyday self-gifting, and thoughtful just-because gifts. Review images, options, care notes, and checkout details before ordering.","","100"
"North & Pearl Bloom Charm Bracelet","north-pearl-bloom-charm-bracelet","Bracelet","6","1500","1500","1820","North & Pearl Bloom Charm Bracelet | Jewelry Gifts | North & Pearl","Bloom Charm Bracelet from North & Pearl, a giftable bracelet for anniversaries, Valentine-style moments, birthdays, Mother's Day, and partner gifts. Review images, options, care notes, and checkout details before ordering.","","100"
"North & Pearl Bloom Pendant Necklace","north-pearl-flower-necklace","Necklace","6","794","788","1816","Bloom Pendant Necklace | North & Pearl","Bloom Pendant Necklace from North & Pearl, a giftable necklace for spring birthdays, Mother's Day, bridesmaid gifts, and everyday appreciation. Review images, options, care notes, and checkout details before ordering.","","100"
"North & Pearl Bridal Water Drop Set","north-pearl-bridal-water-drop-set","Gift Set","6","800","800","1818","North & Pearl Bridal Water Drop Set | Meaningful Jewelry Gifts | North & Pearl","Bridal Water Drop Set from North & Pearl, a giftable jewelry set for bridesmaid proposals, wedding weekends, rehearsal dinners, and thank-you gifts. Review images, options, care notes, and checkout details before ordering.","","100"
"North & Pearl Charm Classic Initial Necklace","north-pearl-initial-necklace-5273","Necklace","6","750","750","1860","North & Pearl Charm Classic Initial Necklace | North & Pearl","Charm Classic Initial Necklace from North & Pearl, a giftable necklace for birthdays, bridesmaid gifts, graduation moments, everyday self-gifting, and thoughtful just-because gifts. Review images, options, care notes, and checkout details before ordering.","","100"
