title,handle,score,images,minWidth,minHeight,productType,sourceTags,sourceUrlTags,url
"North & Pearl Dainty Initial Charm","north-pearl-initial-necklace-6130","ACCEPTABLE_TEMP","3","800","800","Necklace","alibaba-source-1600214606130","","https://northandpearl.com/products/north-pearl-initial-necklace-6130"
"North & Pearl Iridescent Pendant Necklace","north-pearl-iridescent-pendant-necklace","ACCEPTABLE_TEMP","3","1000","1000","Necklace","","","https://northandpearl.com/products/north-pearl-iridescent-pendant-necklace"
"North & Pearl Sweetheart Drop Earrings","north-pearl-heart-earrings-5815","ACCEPTABLE_TEMP","4","750","750","Earrings","alibaba-source-1600874215815","","https://northandpearl.com/products/north-pearl-heart-earrings-5815"
"North & Pearl Heart Accent Ring","north-pearl-heart-ring-7637","ACCEPTABLE_TEMP","4","773","765","Ring","alibaba-source-62383677637","","https://northandpearl.com/products/north-pearl-heart-ring-7637"
"North & Pearl Giftable Initial Necklace","north-pearl-initial-necklace-6292","ACCEPTABLE_TEMP","4","774","716","Necklace","alibaba-source-1601812846292","","https://northandpearl.com/products/north-pearl-initial-necklace-6292"
"North & Pearl Giftable Letter Earrings","north-pearl-letter-earrings-5006","ACCEPTABLE_TEMP","4","791","791","Earrings","alibaba-source-1601048785006","","https://northandpearl.com/products/north-pearl-letter-earrings-5006"
"North & Pearl Refined Letter Earrings","north-pearl-letter-earrings","ACCEPTABLE_TEMP","4","794","787","Earrings","alibaba-source-1600452065310","","https://northandpearl.com/products/north-pearl-letter-earrings"
"North & Pearl Nameplate Charm Necklace","north-pearl-name-necklace-8213","ACCEPTABLE_TEMP","4","800","800","Necklace","alibaba-source-62121288213","","https://northandpearl.com/products/north-pearl-name-necklace-8213"
"North & Pearl Polished Oval Link Bracelet","north-pearl-polished-link-bracelet","ACCEPTABLE_TEMP","4","800","800","Bracelet","alibaba-source-1601273120820","","https://northandpearl.com/products/north-pearl-polished-link-bracelet"
"North & Pearl Layering Letter Bracelet","north-pearl-letter-bracelet","ACCEPTABLE_TEMP","5","720","720","Bracelet","alibaba-source-1601721496131","","https://northandpearl.com/products/north-pearl-letter-bracelet"
"North & Pearl Polished Letter Necklace","north-pearl-letter-necklace-9008","ACCEPTABLE_TEMP","5","741","800","Necklace","alibaba-source-60733359008","","https://northandpearl.com/products/north-pearl-letter-necklace-9008"
"North & Pearl Everyday Bloom Bracelet","north-pearl-flower-bracelet-6422","ACCEPTABLE_TEMP","5","750","750","Bracelet","alibaba-source-1601418486422","","https://northandpearl.com/products/north-pearl-flower-bracelet-6422"
"North & Pearl Petite Letter Necklace","north-pearl-letter-necklace-1571","ACCEPTABLE_TEMP","5","750","750","Necklace","alibaba-source-62447621571","","https://northandpearl.com/products/north-pearl-letter-necklace-1571"
"North & Pearl Polished Name Pendant Necklace","north-pearl-name-necklace-5921","ACCEPTABLE_TEMP","5","750","750","Necklace","alibaba-source-62496465921","","https://northandpearl.com/products/north-pearl-name-necklace-5921"
"North & Pearl Refined Oval Bracelet","north-pearl-signature-bracelet-6682","ACCEPTABLE_TEMP","5","790","702","Bracelet","alibaba-source-1601381586682","","https://northandpearl.com/products/north-pearl-signature-bracelet-6682"
"North & Pearl Charm Giftable Name Necklace","north-pearl-name-necklace-2765","ACCEPTABLE_TEMP","5","794","794","Necklace","alibaba-source-1601304922765","","https://northandpearl.com/products/north-pearl-name-necklace-2765"
"North & Pearl Statement Letter Pendant Necklace","north-pearl-letter-necklace-2555","ACCEPTABLE_TEMP","5","794","794","Necklace","alibaba-source-1601834722555","","https://northandpearl.com/products/north-pearl-letter-necklace-2555"
"North & Pearl Charm Keepsake Letter Necklace","north-pearl-letter-necklace-6153","ACCEPTABLE_TEMP","5","800","800","Necklace","alibaba-source-1600322696153","","https://northandpearl.com/products/north-pearl-letter-necklace-6153"
"North & Pearl Charm Keepsake Name Necklace","north-pearl-name-necklace-8628","ACCEPTABLE_TEMP","5","800","800","Necklace","alibaba-source-1601641278628","","https://northandpearl.com/products/north-pearl-name-necklace-8628"
"North & Pearl Dainty Letter Pendant","north-pearl-letter-necklace-6404","ACCEPTABLE_TEMP","5","800","800","Necklace","alibaba-source-1600093716404","","https://northandpearl.com/products/north-pearl-letter-necklace-6404"
"North & Pearl Everyday Letter Charm Necklace","north-pearl-letter-necklace-2156","ACCEPTABLE_TEMP","5","800","800","Necklace","alibaba-source-1601525962156","","https://northandpearl.com/products/north-pearl-letter-necklace-2156"
"North & Pearl Layering Clover Bracelet","north-pearl-clover-bracelet-1367","ACCEPTABLE_TEMP","5","800","800","Bracelet","alibaba-source-1601238151367","","https://northandpearl.com/products/north-pearl-clover-bracelet-1367"
"North & Pearl Pendant Polished Initial Necklace","north-pearl-initial-necklace-8053","ACCEPTABLE_TEMP","5","800","800","Necklace","alibaba-source-1601523458053","","https://northandpearl.com/products/north-pearl-initial-necklace-8053"
"North & Pearl Refined Letter Necklace","north-pearl-letter-necklace-3983","ACCEPTABLE_TEMP","5","800","800","Necklace","alibaba-source-1600332513983","","https://northandpearl.com/products/north-pearl-letter-necklace-3983"
"North & Pearl Sweetheart Drop Pendant Necklace","north-pearl-heart-necklace-2260","ACCEPTABLE_TEMP","5","800","800","Necklace","alibaba-source-1601837852260","","https://northandpearl.com/products/north-pearl-heart-necklace-2260"
"North & Pearl Layered Initial Necklace","north-pearl-initial-necklace-1814","ACCEPTABLE_TEMP","6","700","700","Necklace","alibaba-source-1601712111814","","https://northandpearl.com/products/north-pearl-initial-necklace-1814"
"North & Pearl Rounded Heart Pendant Necklace","north-pearl-heart-necklace-1404","ACCEPTABLE_TEMP","6","720","720","Necklace","alibaba-source-1601043081404","","https://northandpearl.com/products/north-pearl-heart-necklace-1404"
"North & Pearl Stacking Oval Bracelet","north-pearl-signature-bracelet-9323","ACCEPTABLE_TEMP","6","720","720","Bracelet","alibaba-source-1601635999323","","https://northandpearl.com/products/north-pearl-signature-bracelet-9323"
"North & Pearl Layered Letter Necklace","north-pearl-letter-necklace-1755","ACCEPTABLE_TEMP","6","725","725","Necklace","alibaba-source-1601782281755","","https://northandpearl.com/products/north-pearl-letter-necklace-1755"
"North & Pearl Clover Earrings","north-pearl-clover-earrings","ACCEPTABLE_TEMP","6","743","743","Earrings","alibaba-source-1601606910497","","https://northandpearl.com/products/north-pearl-clover-earrings"
"North & Pearl Polished Love Pendant","north-pearl-heart-necklace-2948","ACCEPTABLE_TEMP","6","743","743","Necklace","alibaba-source-1601843992948","","https://northandpearl.com/products/north-pearl-heart-necklace-2948"
"North & Pearl Charm Classic Initial Necklace","north-pearl-initial-necklace-5273","ACCEPTABLE_TEMP","6","750","750","Necklace","alibaba-source-1601741915273","","https://northandpearl.com/products/north-pearl-initial-necklace-5273"
"North & Pearl Classic Initial Charm Necklace","north-pearl-initial-necklace-4829","ACCEPTABLE_TEMP","6","750","750","Necklace","alibaba-source-1700010604829","","https://northandpearl.com/products/north-pearl-initial-necklace-4829"
"North & Pearl Classic Initial Necklace","north-pearl-initial-necklace","ACCEPTABLE_TEMP","6","750","750","Necklace","alibaba-source-1601105172662","","https://northandpearl.com/products/north-pearl-initial-necklace"
"North & Pearl Everyday Script Name Necklace","north-pearl-name-necklace-5330","ACCEPTABLE_TEMP","6","750","750","Necklace","alibaba-source-1600450595330","","https://northandpearl.com/products/north-pearl-name-necklace-5330"
"North & Pearl Refined Initial Necklace","north-pearl-initial-necklace-1355","ACCEPTABLE_TEMP","6","750","750","Necklace","alibaba-source-1600821951355","","https://northandpearl.com/products/north-pearl-initial-necklace-1355"
"North & Pearl Script Classic Name Necklace","north-pearl-name-necklace-1616","ACCEPTABLE_TEMP","6","750","750","Necklace","alibaba-source-1600691571616","","https://northandpearl.com/products/north-pearl-name-necklace-1616"
"North & Pearl Simple Initial Pendant Necklace","north-pearl-initial-necklace-2758","ACCEPTABLE_TEMP","6","750","750","Necklace","alibaba-source-1600962252758","","https://northandpearl.com/products/north-pearl-initial-necklace-2758"
"North & Pearl Sparkle Stacking Bracelet","north-pearl-sparkle-bracelet-6794","ACCEPTABLE_TEMP","6","750","750","Bracelet","alibaba-source-1601046346794","","https://northandpearl.com/products/north-pearl-sparkle-bracelet-6794"
"North & Pearl Water Drop Jewelry Set","north-pearl-water-drop-jewelry-set","ACCEPTABLE_TEMP","6","750","750","Gift Set","alibaba-source-1601681796890","","https://northandpearl.com/products/north-pearl-water-drop-jewelry-set"
"North & Pearl Sparkle Pendant Necklace","north-pearl-sparkle-necklace-9390","ACCEPTABLE_TEMP","6","753","753","Necklace","alibaba-source-1601150229390","","https://northandpearl.com/products/north-pearl-sparkle-necklace-9390"
"North & Pearl Refined Nameplate Necklace","north-pearl-name-necklace-6441","ACCEPTABLE_TEMP","6","756","800","Necklace","alibaba-source-1600948536441","","https://northandpearl.com/products/north-pearl-name-necklace-6441"
"North & Pearl Everyday Rounded Link Bracelet","north-pearl-signature-bracelet-1724","ACCEPTABLE_TEMP","6","770","770","Bracelet","alibaba-source-1601056661724","","https://northandpearl.com/products/north-pearl-signature-bracelet-1724"
"North & Pearl Refined Chain Necklace","north-pearl-snake-chain-necklace","ACCEPTABLE_TEMP","6","790","790","Necklace","alibaba-source-1601383578359","","https://northandpearl.com/products/north-pearl-snake-chain-necklace"
"North & Pearl Bloom Pendant Necklace","north-pearl-flower-necklace","ACCEPTABLE_TEMP","6","794","788","Necklace","alibaba-source-1600375026459","","https://northandpearl.com/products/north-pearl-flower-necklace"
"North & Pearl Everyday Classic Name Necklace","north-pearl-name-necklace-4242","ACCEPTABLE_TEMP","6","794","794","Necklace","alibaba-source-1600764544242","","https://northandpearl.com/products/north-pearl-name-necklace-4242"
"North & Pearl Giftable Script Name Necklace","north-pearl-name-necklace-6429","ACCEPTABLE_TEMP","6","794","794","Necklace","alibaba-source-1601291736429","","https://northandpearl.com/products/north-pearl-name-necklace-6429"
"North & Pearl Block Initial Necklace","north-pearl-initial-necklace-3226","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1600912413226","","https://northandpearl.com/products/north-pearl-initial-necklace-3226"
"North & Pearl Bridal Water Drop Set","north-pearl-bridal-water-drop-set","ACCEPTABLE_TEMP","6","800","800","Gift Set","","","https://northandpearl.com/products/north-pearl-bridal-water-drop-set"
"North & Pearl Charm Classic Name Necklace","north-pearl-name-necklace-5568","ACCEPTABLE_TEMP","6","800","799","Necklace","alibaba-source-1601612415568","","https://northandpearl.com/products/north-pearl-name-necklace-5568"
"North & Pearl Charm Everyday Letter Necklace","north-pearl-letter-necklace-4393","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1601263114393","","https://northandpearl.com/products/north-pearl-letter-necklace-4393"
"North & Pearl Charm Everyday Name Necklace","north-pearl-name-necklace-8045","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1601594088045","","https://northandpearl.com/products/north-pearl-name-necklace-8045"
"North & Pearl Charm Polished Name Necklace","north-pearl-name-necklace-7262","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1601846897262","","https://northandpearl.com/products/north-pearl-name-necklace-7262"
"North & Pearl Charm Refined Letter Necklace","north-pearl-letter-necklace-9014","ACCEPTABLE_TEMP","6","800","800","Necklace","alibaba-source-1600614789014","","https://northandpearl.com/products/north-pearl-letter-necklace-9014"
