north_pearl_product_id,north_pearl_handle,north_pearl_name,classification,supplier_name,alibaba_listing_title,alibaba_product_url,alibaba_listing_id,supplier_profile_url,supplier_sku,selected_variant,selected_finish,selected_size,unit_cost,unit_cost_confidence,moq,sample_price,est_shipping_cost,est_landed_cost,recommended_retail_price,expected_gross_margin,supplier_status,verified_supplier,trade_assurance,ip_risk_status,ip_risk_notes,verification_status,last_verified_date,notes
gid://shopify/Product/10521726877880,north-pearl-double-heart-birth-month-ring,North & Pearl Double Heart Birth Month Ring,CORE,"Shenzhen Lan Shang Jewelry Co.,ltd.","Fine 925 Silver Ring CZ Double Heart 12 Month Birthstone Rings Adjustable for Women Jewelry Gifts",https://www.alibaba.com/product-detail/Fine-925-Silver-Ring-CZ-Double_1601447882726.html,1601447882726,https://szlanshang.en.alibaba.com/company_profile.html,UNKNOWN,"Adjustable ring with heart-shaped birth-month color accent","Silver-tone appearance shown; exact material/finish unverified","Adjustable style shown by source listing",$12.38,SUPPLIER CLAIM/listing price,2 pieces,UNKNOWN,UNKNOWN,UNKNOWN,$59.00,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,GREEN,"No visible third-party branding/watermarks/trademarks in six retrieved source images","Source URL/supplier/images verified; public copy is claim-safe",2026-08-11,"Internal Shopify metafields store source URL, supplier, listing ID, profile URL, selected variant, and verification status"
gid://shopify/Product/10521727008952,north-pearl-birth-month-accent-ring,North & Pearl Birth Month Accent Ring,CORE,"Yiwu Qingyuan Jewelry Co., Ltd.","Custom Name Birthstone Ring Personalized Engraved Jewelry 12 Month Gemstone Gold Tone Statement Gift",https://www.alibaba.com/product-detail/Custom-Name-Birthstone-Ring-Personalized-Engraved_1601911389893.html,1601911389893,https://viviantra.en.alibaba.com/company_profile.html,UNKNOWN,"Gold-tone name ring with birth-month color accent and available sizing","Gold-tone appearance shown; exact material/finish unverified","Customer enters preferred size in personalization field; source image references sizes 6-10","$2.74-3.46; also listed $3.43-4.33",SUPPLIER CLAIM/listing price,1 piece,UNKNOWN,UNKNOWN,UNKNOWN,$64.00,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,GREEN,"No visible third-party branding/watermarks/trademarks in six retrieved source images","Source URL/supplier/images verified; public copy is claim-safe",2026-08-11,"Title/handle/description rewritten to remove personalization language (source listing was 'Personalized Birth Month Name Ring'); left in DRAFT after rewrite. Published live 2026-09-03 with the claim-safe copy already in place."
gid://shopify/Product/10521732939960,north-pearl-zodiac-wish-card-necklace,North & Pearl Zodiac Wish Card Necklace,ENTRY,Yiwu Deshang Jewelry Co. Ltd.,"Wholesale 12 Zodiac Necklace with Wish Card Jewelry Round Horoscope Astrology Coin Pendant Signs Necklace for Couple Best Friend",https://www.alibaba.com/product-detail/Wholesale-12-Zodiac-Necklace-with-Wish_1601679678930.html,1601679678930,https://deshangjewelry.en.alibaba.com/company_profile.html,UNKNOWN,"Round zodiac pendant necklace with sign card presentation","Gold-tone appearance shown; exact material/finish unverified","12 zodiac sign variants",$0.85-0.65,SUPPLIER CLAIM/listing price,6 pieces,UNKNOWN,UNKNOWN,UNKNOWN,$39.00,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,GREEN,"No visible third-party branding/watermarks/trademarks in retrieved source images","Source URL/supplier/images verified; public copy is claim-safe; live PDP/cart QA passed",2026-08-11,"Internal Shopify metafields store source URL, supplier, listing ID, profile URL, selected variant, and verification status"
gid://shopify/Product/10521736937656,north-pearl-family-birth-month-heart-necklace,North & Pearl Family Birth Month Heart Necklace,CORE,"Supplier not fully confirmed from public page","Custom Family Names Heart Pendant Necklace with Birthstones Personalized Mothers Day Necklace Jewelry Gift for Mom Mum",https://www.alibaba.com/product-introduction/Custom-Family-Names-Heart-Pendant-Necklace_1601397950260.html,1601397950260,https://www.alibaba.com/product-introduction/Custom-Family-Names-Heart-Pendant-Necklace_1601397950260.html,UNKNOWN,"Heart pendant necklace with multiple names and birth-month color accents","Silver-tone appearance shown; exact material/finish unverified","Personalized names and birth-month color accents",$1.07-$2.28,SUPPLIER CLAIM/listing price,30 pieces,UNKNOWN,UNKNOWN,UNKNOWN,$69.00,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,GREEN,"No visible third-party branding/watermarks/trademarks in three retrieved source images","Source URL/images verified; supplier profile incomplete; public copy is claim-safe; live PDP/cart QA passed",2026-08-11,"Description rewritten to remove personalization language (source listing was 'Custom Family Names... Personalized'); left in DRAFT after rewrite. Published live 2026-09-03 with the claim-safe copy already in place."
gid://shopify/Product/10521737658552,north-pearl-birth-flower-pendant-necklace,North & Pearl Birth Flower Pendant Necklace,ENTRY,"JINYOU / supplier not fully confirmed from public page","JINYOU 3001 Tarnish Free Mother Women Gift Jewelry Stainless Steel 12 Month Birth Flower Round Minimalist Gold Pendant Necklace",https://www.alibaba.com/product-introduction/JINYOU-3001-Tarnish-Free-Mother-Women_1600370738258.html,1600370738258,https://www.alibaba.com/product-introduction/JINYOU-3001-Tarnish-Free-Mother-Women_1600370738258.html,UNKNOWN,"Round birth-flower pendant necklace with month options","Gold-tone and silver-tone appearance shown; exact material/finish unverified","12 month variants",$1.98-$27.60,SUPPLIER CLAIM/listing price,6 pieces,UNKNOWN,UNKNOWN,UNKNOWN,$49.00,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,GREEN_WITH_IMAGE_EXCLUSION,"No visible third-party branding/watermarks/trademarks in selected three source images; one spec image excluded for unverified material/plating claims","Source URL/images verified; supplier profile incomplete; public copy is claim-safe; live PDP/cart QA passed",2026-08-11,"Internal Shopify metafields store source URL, supplier status, listing ID, profile URL, selected variant, and verification status"
"gid://shopify/Product/10521759940792","north-pearl-baguette-birthstone-necklace","North & Pearl Baguette Birthstone Necklace","CORE","Guangzhou Peishang Jewelry Co., Ltd.","Hot Sale Bijoux Minimalist Baguette square Birthstone Necklace 925 Sterling Silver Gold Plated Zircon Necklace Jewelry Wholesale","https://www.alibaba.com/product-detail/Hot-Sale-Bijoux-Minimalist-Baguette-square_1600831438802.html","1600831438802","https://www.alibaba.com/product-detail/Hot-Sale-Bijoux-Minimalist-Baguette-square_1600831438802.html","UNKNOWN","Birth Month variants","Visible finish/color shown; exact material/finish unverified","Birth Month variants","$10.45","SUPPLIER CLAIM/listing price","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","$69.00","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","GREEN","No unresolved third-party branding/trademark issue in selected public images","Batch 10 full-gallery validated; source metafields present; public copy claim-safe","2026-08-11","Batch 10 sourced product; selected public images only"
"gid://shopify/Product/10521760104632","north-pearl-heart-birthstone-pendant-necklace","North & Pearl Heart Birthstone Pendant Necklace","ENTRY","Yiwu Haomi E-Commerce Co., Ltd.","Cross-Border New Stainless Steel Love Zircon Birthstone Necklace 18K Heart-Shaped Link Chain with Twelve Birthstone Clavicle","https://www.alibaba.com/product-detail/Cross-Border-New-Stainless-Steel-Love_10000030743872.html","10000030743872","https://www.alibaba.com/product-detail/Cross-Border-New-Stainless-Steel-Love_10000030743872.html","UNKNOWN","Birth Month variants","Visible finish/color shown; exact material/finish unverified","Birth Month variants","$0.8","SUPPLIER CLAIM/listing price","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","$49.00","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","GREEN","No unresolved third-party branding/trademark issue in selected public images","Batch 10 full-gallery validated; source metafields present; public copy claim-safe","2026-08-11","Batch 10 sourced product; selected public images only"
"gid://shopify/Product/10521818431672","north-pearl-heart-locket-birthstone-necklace","North & Pearl Heart Locket Birthstone Necklace","CORE","Yiwu Deshang Jewelry Co., Ltd.","Dainty Heart-Shaped Locket Photo Album Pendant Necklace 12 Colorful Birthstone Zircon Gold Plated Stainless Steel Necklace","https://www.alibaba.com/product-detail/Dainty-Heart-Shaped-Locket-Photo-Album_1601586311706.html","1601586311706","https://www.alibaba.com/product-detail/Dainty-Heart-Shaped-Locket-Photo-Album_1601586311706.html","UNKNOWN","Birth Month variants","Visible finish/color shown; exact material/finish unverified","Birth Month variants","$1.68","SUPPLIER CLAIM/listing price","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","$64.00","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","GREEN","No unresolved third-party branding/trademark issue in selected public images","Batch 10 full-gallery validated; source metafields present; public copy claim-safe","2026-08-11","Batch 10 sourced product; selected public images only"
"gid://shopify/Product/10521818562744","north-pearl-birth-flower-birthstone-necklace","North & Pearl Birth Flower & Birthstone Necklace","CORE","Hangzhou Qina Jewelry Co., Ltd.","New Style Elegant Stainless Steel 18K Gold Plated Custom Birthflowers With Colored Birthstone Necklace","https://www.alibaba.com/product-detail/New-Style-Elegant-Stainless-Steel-18K_1601223826507.html","1601223826507","https://www.alibaba.com/product-detail/New-Style-Elegant-Stainless-Steel-18K_1601223826507.html","UNKNOWN","Birth Month variants","Visible finish/color shown; exact material/finish unverified","Birth Month variants","$0.82","SUPPLIER CLAIM/listing price","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","$59.00","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","GREEN","No unresolved third-party branding/trademark issue in selected public images","Batch 10 full-gallery validated; source metafields present; public copy claim-safe","2026-08-11","Batch 10 sourced product; selected public images only"
"gid://shopify/Product/10521818595512","north-pearl-garnet-drop-necklace","North & Pearl Garnet Drop Necklace","SUPPORTING","Yiwu Zooying Jewelry Co., Ltd.","Zooying Tiny Delicate Gemstone Garnet Natural Stone Tear Drop Necklace Tiny Jewelry January Birthstone Necklace Chain Necklace","https://www.alibaba.com/product-detail/Zooying-Tiny-Delicate-Gemstone-Garnet-Natural_1601420985527.html","1601420985527","https://www.alibaba.com/product-detail/Zooying-Tiny-Delicate-Gemstone-Garnet-Natural_1601420985527.html","UNKNOWN","Default source variant shown in selected product imagery","Visible finish/color shown; exact material/finish unverified","Default variant","$1.5","SUPPLIER CLAIM/listing price","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","$49.00","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","GREEN","No unresolved third-party branding/trademark issue in selected public images","Batch 10 full-gallery validated; source metafields present; public copy claim-safe","2026-08-11","Batch 10 sourced product; selected public images only"
