candidate_id,category,thumbnail_status,decision,next_step,notes,last_verified
B9-001,Necklace,YELLOW_THUMBNAIL,HOLD,FULL_GALLERY_REQUIRED,"Color pendant assortment may work, but thumbnail feels plastic/enamel-heavy. Needs premium-fit review.",2026-08-11
B9-002,Necklace,GREEN_THUMBNAIL,SHORTLIST,FULL_GALLERY_REQUIRED,"Clean single-stone necklace thumbnail with good birthstone gift fit.",2026-08-11
B9-003,Necklace,GREEN_THUMBNAIL,SHORTLIST,FULL_GALLERY_REQUIRED,"Clean baguette necklace assortment thumbnail; good ready-to-order category fit.",2026-08-11
B9-004,Necklace,GREEN_THUMBNAIL,SHORTLIST,FULL_GALLERY_REQUIRED,"Strong birthstone necklace spread with good merchandising density.",2026-08-11
B9-005,Necklace,GREEN_THUMBNAIL,SHORTLIST,FULL_GALLERY_REQUIRED,"Clean premium-looking birthstone necklace lifestyle thumbnail.",2026-08-11
B9-006,Necklace,GREEN_THUMBNAIL,SHORTLIST,FULL_GALLERY_REQUIRED,"Heart locket/birthstone style fits meaningful gift direction. Verify personalization/photo expectations.",2026-08-11
B9-007,Necklace,YELLOW_THUMBNAIL,HOLD,FULL_GALLERY_REQUIRED,"Thin product image and possible low perceived value. Hold pending better gallery.",2026-08-11
B9-008,Necklace,YELLOW_THUMBNAIL,HOLD,FULL_GALLERY_REQUIRED,"Urn/ashes/memorial angle is sensitive and may require special policy/fulfillment clarity. Hold.",2026-08-11
B9-009,Necklace,GREEN_THUMBNAIL,SHORTLIST,FULL_GALLERY_REQUIRED,"Layered birthstone styling has premium presentation potential.",2026-08-11
B9-010,Necklace,GREEN_THUMBNAIL,SHORTLIST,FULL_GALLERY_REQUIRED,"Clean on-model necklace thumbnail and good gift fit.",2026-08-11
B9-011,Necklace,GREEN_THUMBNAIL,SHORTLIST,FULL_GALLERY_REQUIRED,"Clean birthstone necklace grid; verify variants and avoid unverified material claims.",2026-08-11
B9-012,Necklace,YELLOW_THUMBNAIL,HOLD,FULL_GALLERY_REQUIRED,"Thumbnail contains claim/spec messaging including waterproof and private-label copy. Hold unless clean product images are available.",2026-08-11
B9-013,Necklace,YELLOW_THUMBNAIL,HOLD,FULL_GALLERY_REQUIRED,"Heart urn/ashes necklace is sensitive and may not fit launch assortment. Hold.",2026-08-11
B9-014,Necklace,RED_THUMBNAIL,REJECT,NONE,"Visible Rich Grand brand watermark/logo in thumbnail. Do not publish.",2026-08-11
B9-015,Necklace,YELLOW_THUMBNAIL,HOLD,FULL_GALLERY_REQUIRED,"Thumbnail includes supplier/spec marketing text. Hold pending clean gallery.",2026-08-11
B9-016,Necklace,YELLOW_THUMBNAIL,HOLD,FULL_GALLERY_REQUIRED,"Raw crystal/bead style and natural stone claims do not fit current premium minimal direction.",2026-08-11
B9-017,Necklace,RED_THUMBNAIL,REJECT,NONE,"Visible Manco/source branding and material chart in thumbnail. Do not publish.",2026-08-11
B9-018,Necklace,GREEN_THUMBNAIL,SHORTLIST,FULL_GALLERY_REQUIRED,"Strong birthstone pendant set with clean product thumbnail.",2026-08-11
B9-019,Bracelet,GREEN_THUMBNAIL,SHORTLIST,FULL_GALLERY_REQUIRED,"Clean birthstone bracelet assortment with good underrepresented bracelet fit.",2026-08-11
B9-020,Bracelet,GREEN_THUMBNAIL,SHORTLIST,FULL_GALLERY_REQUIRED,"Birthstone bracelet assortment is visually clear; verify text card and variant expectation.",2026-08-11
B9-021,Bracelet,GREEN_THUMBNAIL,SHORTLIST,FULL_GALLERY_REQUIRED,"Personalized name bracelet thumbnail fits core personalized/gift positioning.",2026-08-11
B9-022,Bracelet,GREEN_THUMBNAIL,SHORTLIST,FULL_GALLERY_REQUIRED,"Clean wire birthstone bracelet display; good bracelet gap fit.",2026-08-11
B9-023,Bracelet,YELLOW_THUMBNAIL,HOLD,FULL_GALLERY_REQUIRED,"Tennis bracelet thumbnail may involve moissanite/stone claims and higher expectation risk. Hold.",2026-08-11
B9-024,Bracelet,YELLOW_THUMBNAIL,HOLD,FULL_GALLERY_REQUIRED,"Attractive birthstone spacer bracelet grid, but higher material/stone claim risk. Needs supplier proof.",2026-08-11
B9-025,Bracelet,GREEN_THUMBNAIL,SHORTLIST,FULL_GALLERY_REQUIRED,"Birthstone bracelet variants are clear and visually shoppable.",2026-08-11
B9-026,Bracelet,YELLOW_THUMBNAIL,HOLD,FULL_GALLERY_REQUIRED,"Thumbnail includes geography/map-like overlay and claim grid; hold pending clean gallery.",2026-08-11
B9-027,Bracelet,YELLOW_THUMBNAIL,HOLD,FULL_GALLERY_REQUIRED,"Charm components rather than clear finished bracelet. Hold.",2026-08-11
B9-028,Bracelet,YELLOW_THUMBNAIL,HOLD,FULL_GALLERY_REQUIRED,"Spec/claim-heavy image with hypoallergenic/tarnish messaging. Hold.",2026-08-11
B9-029,Bracelet,GREEN_THUMBNAIL,SHORTLIST,FULL_GALLERY_REQUIRED,"Strong colorful bracelet stack thumbnail; good product-card potential.",2026-08-11
B9-030,Bracelet,YELLOW_THUMBNAIL,HOLD,FULL_GALLERY_REQUIRED,"Charm-heavy assortment risks cluttered/generic presentation. Hold.",2026-08-11
B9-031,Bracelet,GREEN_THUMBNAIL,SHORTLIST,FULL_GALLERY_REQUIRED,"Clean green bracelet lifestyle thumbnail; premium enough if facts validate.",2026-08-11
B9-032,Bracelet,RED_THUMBNAIL,REJECT,NONE,"Visible Manco/source branding in thumbnail. Do not publish.",2026-08-11
B9-033,Bracelet,YELLOW_THUMBNAIL,HOLD,FULL_GALLERY_REQUIRED,"Copper/magnetic-looking bracelet may not fit North & Pearl jewelry positioning. Hold.",2026-08-11
B9-034,Bracelet,GREEN_THUMBNAIL,SHORTLIST,FULL_GALLERY_REQUIRED,"Clean delicate birthstone chain bracelet thumbnail; good category fit.",2026-08-11
B9-035,Bracelet,GREEN_THUMBNAIL,SHORTLIST,FULL_GALLERY_REQUIRED,"Personalized family/name heart bracelet fits meaningful gifting lane.",2026-08-11
B9-036,Bracelet,GREEN_THUMBNAIL,SHORTLIST,FULL_GALLERY_REQUIRED,"Colorful birthstone bracelet has giftable visual appeal; verify quality/gallery.",2026-08-11
B9-037,Bracelet,YELLOW_THUMBNAIL,HOLD,FULL_GALLERY_REQUIRED,"Semi-precious gemstone label card makes unverified material claims. Hold.",2026-08-11
B9-038,Bracelet,GREEN_THUMBNAIL,SHORTLIST,FULL_GALLERY_REQUIRED,"Clean delicate layered bracelet thumbnail with strong visual fit.",2026-08-11
B9-039,Earrings,GREEN_THUMBNAIL,SHORTLIST,FULL_GALLERY_REQUIRED,"Clean huggie sizing thumbnail; good ready-to-order earrings gap fit.",2026-08-11
