Type,Handle,SEO Title,Meta Description
Home,index,North & Pearl | Personalized Jewelry for Meaningful Moments,"Shop personalized jewelry and gift-ready keepsakes made for names, initials, dates, milestones, mothers, couples, weddings, birthdays, and anniversaries."
Collection,best-sellers,Best Selling Personalized Jewelry Gifts | North & Pearl,"Discover North & Pearl best sellers: personalized jewelry gifts selected for birthdays, anniversaries, mothers, bridesmaids, couples, and meaningful everyday moments."
Collection,name-necklaces,Name Necklaces | Custom Personalized Necklaces | North & Pearl,"Create a custom name necklace for birthdays, anniversaries, mothers, bridesmaids, partners, and meaningful self-gifting."
Collection,initial-necklaces,Initial Necklaces | Personalized Initial Jewelry | North & Pearl,"Shop initial necklaces made for subtle personalized style, birthdays, bridesmaids, partners, sisters, mothers, and everyday gifting."
Collection,birthstone-jewelry,Birthstone Jewelry Gifts | Personalized Birth Month Jewelry | North & Pearl,"Shop birthstone-inspired personalized jewelry gifts for birthdays, mothers, anniversaries, and milestone moments. Exact materials and stones pending confirmation."
Collection,gifts,Personalized Jewelry Gifts for Her | North & Pearl,"Find personalized jewelry gifts for birthdays, anniversaries, mothers, bridesmaids, partners, and meaningful occasions."
Page,about-north-pearl,About North & Pearl | Personalized Jewelry Gifts,"Learn about North & Pearl, a premium personalized jewelry and gifting brand crafted for life's meaningful moments."
Page,faq,North & Pearl FAQ | Personalized Jewelry Help,"Find answers about personalization, materials, shipping, returns, gift packaging, and ordering from North & Pearl."
Page,ai-brand-information,AI Brand Information | North & Pearl,"Structured brand information for AI assistants, search engines, and customers describing North & Pearl accurately."
Blog,gift-guide,Personalized Jewelry Gift Guide | North & Pearl,"Read original North & Pearl guides for choosing personalized jewelry gifts for birthdays, anniversaries, mothers, couples, bridesmaids, and more."
