candidate_id,search_category,listing_id,exact_alibaba_url,supplier,supplier_profile_url,price,moq,preliminary_category_fit,preliminary_source_quality,claim_risk,ip_visual_status,commercial_status,next_gate,public_claim_rule,notes
B1-001,birthstone ring,1601447882726,https://www.alibaba.com/product-detail/Fine-925-Silver-Ring-CZ-Double_1601447882726.html,"Shenzhen Lan Shang Jewelry Co.,ltd.",https://szlanshang.en.alibaba.com/company_profile.html,$12.38,2 pieces,HIGH,MEDIUM,MEDIUM - title references 925 silver and CZ,NOT_SCREENED,PENDING,"Image/IP screen and supplier detail pass","Do not publish 925 silver, CZ, or stone claims unless verified","Strong birthstone-ring gap fit; adjustable double-heart concept could support birthday and family gifting."
B1-002,birthstone ring,1601911389893,https://www.alibaba.com/product-detail/Custom-Name-Birthstone-Ring-Personalized-Engraved_1601911389893.html,"Yiwu Qingyuan Jewelry Co., Ltd.",https://viviantra.en.alibaba.com/company_profile.html,"$2.74-3.46; also listed $3.43-4.33",1 piece,HIGH,MEDIUM,MEDIUM - birthstone/gemstone terms require verification,NOT_SCREENED,PENDING,"Image/IP screen and duplicate check","Use neutral birth-month/color-accent wording until source documentation supports stone claims","Good personalization plus birthstone gap fit and low MOQ; likely a stronger test candidate if imagery is clean."
B1-003,birthstone ring,1601895828889,https://www.alibaba.com/product-detail/Trendy-Custom-Two-Stone-Ring-Waterproof_1601895828889.html,"Yiwu Qingyuan Jewelry Co., Ltd.",https://viviantra.en.alibaba.com/company_profile.html,$6.16,1 piece,HIGH,MEDIUM,HIGH - waterproof/tarnish-free/stainless claims,NOT_SCREENED,HOLD,"Image/IP screen plus claim-safe rewrite review","Do not publish waterproof, tarnish-free, or stainless steel claims without verification","Commercially interesting couple/family angle but must be stripped of unsupported durability claims."
B1-004,birthstone necklace,1601806474461,https://www.alibaba.com/product-detail/SongYi-Personalized-12-Month-Birthstone-Pendant_1601806474461.html,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,LOW,HIGH - incomplete supplier and price capture,NOT_SCREENED,HOLD,"Complete listing capture before any review","Do not publish material, stone, supplier, or availability claims","Incomplete capture; necklace category is saturated, so needs strong image and demand evidence to continue."
B1-005,zodiac necklace,1600994288347,https://www.alibaba.com/product-detail/Custom-Necklace-High-Quality-Gold-Plated_1600994288347.html,"Guangzhou Heng Dian Trade Co., Ltd.",https://gzhdjewelry.en.alibaba.com/company_profile.html,$1.50,60 pieces,MEDIUM,HIGH,MEDIUM - gold plated claim,NOT_SCREENED,PENDING,"Image/IP screen and MOQ/margin review","Do not publish gold-plated claim unless verified","Zodiac fills a gap, supplier tenure/reorder signals are useful, but MOQ 60 raises inventory commitment risk."
B1-006,zodiac necklace,1601904996498,https://www.alibaba.com/product-detail/925-Sterling-Silver-1-Carat-Moissanite_1601904996498.html,"Dongguan Happy Jewelry Co., Ltd.",https://kuailejewelry.en.alibaba.com/company_profile.html,$14.38-16.25,2 pieces,MEDIUM,LOW,HIGH - moissanite and 925 sterling silver claims,NOT_SCREENED,HOLD,"Supplier documentation review before shortlisting","Do not publish moissanite or sterling silver claims without proof","Potential premium zodiac concept, but supplier is only 1 year and claims are high-stakes."
B1-007,zodiac jewelry set,1601909530395,https://www.alibaba.com/product-detail/Fashion-Star-Moon-Jewelry-Set-Zodiac_1601909530395.html,"Haifeng Meilong Shangying Jewelry Firm (individual Business)",https://hfsyjewelry.en.alibaba.com/company_profile.html,$4.19-5.39,2 pieces,MEDIUM,LOW,MEDIUM - 5A CZ/stainless/luxury language,NOT_SCREENED,HOLD,"Image/IP screen and supplier reliability review","Do not publish 5A CZ, stainless, or luxury-material claims unless verified","Gift-set path is useful, but supplier reliability confidence is low."
B1-008,coordinates necklace,62258287616,https://www.alibaba.com/product-detail/Custom-Half-Moon-Engraved-Necklace-Dates_62258287616.html,"Yiwu Ningzhi Jewelry Co., Ltd.",https://925silver8.en.alibaba.com/company_profile.html,$7.50,30 pieces,HIGH,HIGH,LOW - no major unsafe claim in captured title,NOT_SCREENED,PENDING,"Image/IP screen and personalization workflow review","Use neutral engraved/coordinates wording until material is verified","Strong coordinates gap fit; 12-year supplier is a positive signal, review count is low."
B1-009,coordinates engraved bar necklace,1601685975805,https://www.alibaba.com/product-detail/18K-PVD-Gold-Plated-Engraved-Name_1601685975805.html,"Dongguan Yijiang Digital Co., Ltd.",https://bustyle.en.alibaba.com/company_profile.html,$0.66-1.48,10 pieces,HIGH,MEDIUM,HIGH - 18K PVD/gold plated/stainless/hypoallergenic claims,NOT_SCREENED,HOLD,"Claim-safe rewrite and supplier verification review","Do not publish 18K, gold-plated, stainless, or hypoallergenic claims without verification","Low cost and high reorder signal are attractive, but safety/material claims must be contained."
B1-010,coordinates necklace,1600054279524,https://www.alibaba.com/product-detail/Custom-Jewelry-Stainless-Steel-Bar-Engraved_1600054279524.html,"Dongguan Young.river Jewelry Co., Ltd.",https://youngriver.en.alibaba.com/company_profile.html,$2.80,10 pieces,HIGH,HIGH,MEDIUM - stainless steel claim,NOT_SCREENED,PENDING,"Image/IP screen and duplicate check","Do not publish stainless steel claim unless verified","One of the strongest current candidates: gap fit, 10-year supplier, MOQ 10, real reviews, and reorder signal."
