collection,handle,total_products,sampled_active_products,ready_sample_products,has_collection_image,description_chars,issues
"Personalized Jewelry","personalized-jewelry","72","24","24","true","1108",""
"Jewelry Gifts for Her","jewelry-gifts-for-her","64","24","24","true","1167",""
"Gifts Under $50","gifts-under-50","40","24","24","true","1065",""
"Gifts Under $100","gifts-under-100","80","24","24","true","1033",""
"Birthday Jewelry Gifts","birthday-jewelry-gifts","56","24","24","true","1114",""
"Anniversary Gifts","anniversary-gifts","56","24","24","true","1090",""
"Best Sellers","best-sellers","12","12","12","true","940",""
"New Arrivals","new-arrivals","64","24","24","true","183",""
"Name Necklaces","name-necklaces","111","21","21","true","1000",""
"Initial Necklaces","initial-necklaces","76","23","23","true","541",""
"Birthstone Jewelry","birthstone-jewelry","8","4","4","true","899",""
"Necklaces","necklaces","151","19","19","true","752",""
"Bracelets","bracelets","56","24","24","true","604",""
"Rings","rings","15","10","10","true","546",""
"Earrings","earrings","23","19","19","true","663",""
"Gifts","gifts","56","24","24","true","950",""
"Mother's Collection","mothers-collection","34","22","22","true","565",""
"Wedding & Bridesmaids","wedding-bridesmaids","33","21","21","true","591",""
