Product Handle,Product Title,Alibaba ID / URL,Source Type,Tags
north-pearl-iridescent-pendant-necklace,North & Pearl Iridescent Pendant Necklace,NEEDS_RECOVERY,missing,everyday-jewelry; gift-for-her; opal-style; pendant-necklace
north-pearl-initial-shell-necklace,North & Pearl Initial Shell Necklace,1600468137956,alibaba_id,alibaba-source-1600468137956; alibaba-sourced; alibaba-url-product-introduction-1600468137956; gift-for-her; initial-necklace; personalized; shell-style; source-alibaba
north-pearl-heart-keepsake-necklace,North & Pearl Heart Keepsake Necklace,NEEDS_RECOVERY,missing,couple-gift; gift-for-her; heart-necklace; mother-gift
north-pearl-flower-nail-bangle,North & Pearl Flower Nail Bangle,NEEDS_RECOVERY,missing,bangle; flower-bracelet; gift-for-her; new-arrival
north-pearl-color-accent-cuff,North & Pearl Color Accent Cuff,NEEDS_RECOVERY,missing,crystal-style; cuff-bracelet; gemstone-style; mother-gift
north-pearl-sparkle-accent-bracelet,North & Pearl Sparkle Accent Bracelet,NEEDS_RECOVERY,missing,bracelet; everyday-jewelry; gift-for-her; zircon-style
north-pearl-bridal-water-drop-set,North & Pearl Bridal Water Drop Set,NEEDS_RECOVERY,missing,bridal-jewelry; bridesmaid-gift; jewelry-set; wedding-gift
north-pearl-hollow-flower-bangle-set,North & Pearl Hollow Flower Bangle Set,NEEDS_RECOVERY,missing,bangle-set; flower-bracelet; gift-for-her; mother-gift
north-pearl-sparkle-pulse-bracelet,North & Pearl Sparkle Pulse Bracelet,NEEDS_RECOVERY,missing,bracelet; crystal-style; gift-for-her
north-pearl-mixed-charm-bangle,North & Pearl Mixed Charm Bangle,NEEDS_RECOVERY,missing,bangle; charm-bracelet; gift-for-her
north-pearl-pink-heart-bow-bracelet,North & Pearl Pink Heart Bow Bracelet,NEEDS_RECOVERY,missing,bow-bracelet; gift-for-her; heart-bracelet
north-pearl-dainty-flower-necklace,North & Pearl Dainty Flower Necklace,NEEDS_RECOVERY,missing,flower-necklace; gift-for-her; mother-gift
north-pearl-clover-charm-bracelet,North & Pearl Clover Charm Bracelet,NEEDS_RECOVERY,missing,charm-bracelet; clover-bracelet; gift-for-her
north-pearl-twine-band-ring,North & Pearl Twine Band Ring,NEEDS_RECOVERY,missing,gift-for-her; minimal-ring; ring
north-pearl-warm-bead-stretch-bracelet,North & Pearl Warm Bead Stretch Bracelet,NEEDS_RECOVERY,missing,bead-bracelet; gift-for-her; stackable
north-pearl-chunky-bead-bracelet,North & Pearl Chunky Bead Bracelet,NEEDS_RECOVERY,missing,bracelet; bridesmaid-gift; pearl-style
north-pearl-v-water-drop-jewelry-set,North & Pearl V Water Drop Jewelry Set,NEEDS_RECOVERY,missing,gift-for-her; jewelry-set; water-drop; wedding-gift
north-pearl-sleek-flex-bracelet,North & Pearl Sleek Flex Bracelet,1600916347288,alibaba_id,alibaba-source-1600916347288; alibaba-sourced; availability-status-visible; bracelet; claim-status-unverified; gift-for-her; sample-status-not-ordered; snake-chain-style; source-alibaba
north-pearl-sweetheart-pendant-necklace,North & Pearl Sweetheart Oval Pendant Necklace,1601617442965,alibaba_id,alibaba-source-1601617442965; alibaba-sourced; availability-status-visible; bow-style; butterfly-style; chain-style; claim-status-unverified; gift-for-her; heart-style; moon-style; necklace; pearl-style; sample-status-not-ordered; source-alibaba
north-pearl-sparkle-halo-bracelet,North & Pearl Sparkle Halo Bracelet,1601403752183,alibaba_id,alibaba-source-1601403752183; alibaba-sourced; availability-status-visible; bracelet; claim-status-unverified; crystal-style; gift-for-her; sample-status-not-ordered; source-alibaba
north-pearl-modern-statement-ring,North & Pearl Modern Statement Ring,1601427206777,alibaba_id,alibaba-source-1601427206777; alibaba-sourced; availability-status-visible; claim-status-unverified; gift-for-her; personalized; ring; sample-status-not-ordered; source-alibaba
north-pearl-heart-bracelet,North & Pearl Heart Bracelet,1601426024495,alibaba_id,alibaba-source-1601426024495; alibaba-sourced; availability-status-visible; bow-style; bracelet; claim-status-unverified; crystal-style; gift-for-her; heart-style; sample-status-not-ordered; source-alibaba
north-pearl-sparkle-row-bracelet,North & Pearl Sparkle Row Bracelet,1601120166205,alibaba_id,alibaba-source-1601120166205; alibaba-sourced; availability-status-visible; bracelet; claim-status-unverified; crystal-style; gift-for-her; personalized; sample-status-not-ordered; source-alibaba
north-pearl-smooth-flex-bracelet,North & Pearl Smooth Flex Bracelet,1601110650353,alibaba_id,alibaba-source-1601110650353; alibaba-sourced; availability-status-visible; bracelet; chain-style; claim-status-unverified; gift-for-her; sample-status-not-ordered; snake-chain-style; source-alibaba
north-pearl-bead-bracelet,North & Pearl Bead Bracelet,1601310111350,alibaba_id,alibaba-source-1601310111350; alibaba-sourced; availability-status-visible; bead-style; bracelet; claim-status-unverified; gift-for-her; sample-status-not-ordered; source-alibaba
north-pearl-sparkle-link-bracelet,North & Pearl Sparkle Link Bracelet,1601397861371,alibaba_id,alibaba-source-1601397861371; alibaba-sourced; availability-status-visible; bracelet; claim-status-unverified; crystal-style; gift-for-her; sample-status-not-ordered; source-alibaba
north-pearl-heart-charm-necklace,North & Pearl Heart Charm Necklace,1601427714000,alibaba_id,alibaba-source-1601427714000; alibaba-sourced; availability-status-visible; chain-style; claim-status-unverified; crystal-style; flower-style; gift-for-her; heart-style; necklace; sample-status-not-ordered; source-alibaba
north-pearl-bloom-charm-bracelet,North & Pearl Bloom Charm Bracelet,1601839418653,alibaba_id,alibaba-source-1601839418653; alibaba-sourced; availability-status-visible; bracelet; claim-status-unverified; clover-style; crystal-style; flower-style; gift-for-her; sample-status-not-ordered; source-alibaba
north-pearl-heart-earrings,North & Pearl Heart Earrings,1601590106500,alibaba_id,alibaba-source-1601590106500; alibaba-sourced; availability-status-visible; claim-status-unverified; crystal-style; earrings; gift-for-her; heart-style; sample-status-not-ordered; source-alibaba
north-pearl-garden-bloom-bracelet,North & Pearl Garden Bloom Bracelet,1601232488784,alibaba_id,alibaba-source-1601232488784; alibaba-sourced; availability-status-visible; bracelet; claim-status-unverified; flower-style; gift-for-her; sample-status-not-ordered; source-alibaba
north-pearl-flower-jewelry-set,North & Pearl Flower Jewelry Set,NEEDS_RECOVERY,missing,alibaba-source-11000017124129; alibaba-sourced; availability-status-visible; claim-status-unverified; clover-style; flower-style; gift-for-her; gift-set; sample-status-not-ordered; shell-style; source-alibaba
north-pearl-polished-link-bracelet,North & Pearl Polished Oval Link Bracelet,1601273120820,alibaba_id,alibaba-source-1601273120820; alibaba-sourced; availability-status-visible; bracelet; chain-style; claim-status-unverified; gift-for-her; sample-status-not-ordered; source-alibaba
north-pearl-floral-accent-bracelet,North & Pearl Floral Accent Bracelet,1601599046429,alibaba_id,alibaba-source-1601599046429; alibaba-sourced; availability-status-visible; bracelet; claim-status-unverified; flower-style; gift-for-her; sample-status-not-ordered; source-alibaba; stud-style
north-pearl-modern-drop-earrings,North & Pearl Modern Drop Earrings,1601226198460,alibaba_id,alibaba-source-1601226198460; alibaba-sourced; availability-status-visible; claim-status-unverified; earrings; gift-for-her; sample-status-not-ordered; source-alibaba
north-pearl-heart-ring,North & Pearl Heart Ring,1600409256249,alibaba_id,alibaba-source-1600409256249; alibaba-sourced; availability-status-visible; butterfly-style; claim-status-unverified; color-accent-style; gift-for-her; heart-style; personalized; ring; sample-status-not-ordered; snake-chain-style; source-alibaba; sparkle-style
north-pearl-name-necklace,North & Pearl Classic Name Necklace,1601390865562,alibaba_id,alibaba-source-1601390865562; alibaba-sourced; availability-status-visible; chain-style; claim-status-unverified; gift-for-her; name-style; necklace; personalized; sample-status-not-ordered; source-alibaba
north-pearl-heart-necklace,North & Pearl Sculpted Heart Pendant,1601370023994,alibaba_id,alibaba-source-1601370023994; alibaba-sourced; availability-status-visible; claim-status-unverified; gift-for-her; heart-style; letter-style; name-style; necklace; personalized; sample-status-not-ordered; source-alibaba
north-pearl-heart-jewelry-set,North & Pearl Heart Jewelry Set,1601207062151,alibaba_id,alibaba-source-1601207062151; alibaba-sourced; availability-status-visible; bridal-style; claim-status-unverified; gift-for-her; gift-set; heart-style; sample-status-not-ordered; source-alibaba; sparkle-style
north-pearl-signature-bracelet,North & Pearl Everyday Oval Link Bracelet,1601449107435,alibaba_id,alibaba-source-1601449107435; alibaba-sourced; availability-status-visible; bracelet; claim-status-unverified; gift-for-her; sample-status-not-ordered; source-alibaba
north-pearl-initial-necklace,North & Pearl Classic Initial Necklace,1601105172662,alibaba_id,alibaba-source-1601105172662; alibaba-sourced; availability-status-visible; claim-status-unverified; gift-for-her; initial-style; letter-style; name-style; necklace; personalized; sample-status-not-ordered; source-alibaba
north-pearl-name-necklace-6152,North & Pearl Script Floating Name Necklace,1601260556152,alibaba_id,alibaba-source-1601260556152; alibaba-sourced; availability-status-visible; claim-status-unverified; gift-for-her; name-style; necklace; personalized; sample-status-not-ordered; source-alibaba
