Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Price,Variant Compare At Price,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,SEO Title,SEO Description,Status
custom-name-necklace,Custom Name Necklace,"<p>A personalized name necklace made to carry the word, name, or memory that matters most. Material details are pending supplier confirmation.</p>",North & Pearl,Apparel & Accessories > Jewelry > Necklaces,Necklace,"personalized,name-necklace,gift-for-her,birthday,anniversary",FALSE,Finish,Pending confirmation,Length,Pending confirmation,79.00,99.00,deny,manual,TRUE,TRUE,Custom Name Necklace | Personalized Jewelry Gifts | North & Pearl,"Create a custom name necklace made for meaningful gifting. A personalized keepsake for birthdays, anniversaries, mothers, bridesmaids, and everyday moments.",draft
initial-pendant-necklace,Initial Pendant Necklace,"<p>A minimal initial necklace for a subtle, personal everyday keepsake. Material details are pending supplier confirmation.</p>",North & Pearl,Apparel & Accessories > Jewelry > Necklaces,Necklace,"personalized,initial-necklace,minimal-jewelry,gift-for-her",FALSE,Initial,A,Finish,Pending confirmation,59.00,75.00,deny,manual,TRUE,TRUE,Initial Pendant Necklace | Personalized Initial Jewelry | North & Pearl,"Shop an initial pendant necklace designed for meaningful everyday gifting. A simple personalized jewelry gift for her.",draft
birthstone-name-necklace,Birthstone Name Necklace,"<p>A name necklace with birthstone-inspired detail for a more personal gift. Stone and material details are pending supplier confirmation.</p>",North & Pearl,Apparel & Accessories > Jewelry > Necklaces,Necklace,"birthstone,name-necklace,personalized,mother-gift",FALSE,Birth Month,January,Finish,Pending confirmation,89.00,115.00,deny,manual,TRUE,TRUE,Birthstone Name Necklace | Personalized Birthstone Gift | North & Pearl,"Personalize a name necklace with birthstone-inspired meaning. A thoughtful jewelry gift for birthdays, mothers, and milestone moments.",draft
personalized-bar-necklace,Personalized Bar Necklace,"<p>A clean bar necklace for names, dates, coordinates, or a short meaningful phrase. Material details are pending supplier confirmation.</p>",North & Pearl,Apparel & Accessories > Jewelry > Necklaces,Necklace,"engraved,bar-necklace,personalized,anniversary",FALSE,Finish,Pending confirmation,Length,Pending confirmation,69.00,89.00,deny,manual,TRUE,TRUE,Personalized Bar Necklace | Engraved Jewelry Gift | North & Pearl,"A personalized bar necklace for names, dates, coordinates, or meaningful words. A modern jewelry gift for her.",draft
coordinates-necklace,Coordinates Necklace,"<p>A personalized necklace made to remember a meaningful place, from where you met to where a new chapter began. Material details are pending supplier confirmation.</p>",North & Pearl,Apparel & Accessories > Jewelry > Necklaces,Necklace,"coordinates,personalized,anniversary,couple-gift",FALSE,Finish,Pending confirmation,Length,Pending confirmation,79.00,99.00,deny,manual,TRUE,TRUE,Coordinates Necklace | Personalized Place Jewelry | North & Pearl,"Create a coordinates necklace for a meaningful place, anniversary, wedding, home, or travel memory.",draft
couple-name-necklace,Couple Name Necklace,"<p>A personalized couple necklace concept for names, initials, or relationship milestones. Material details are pending supplier confirmation.</p>",North & Pearl,Apparel & Accessories > Jewelry > Necklaces,Necklace,"couple-jewelry,personalized,anniversary,gift-for-partner",FALSE,Finish,Pending confirmation,Length,Pending confirmation,89.00,115.00,deny,manual,TRUE,TRUE,Couple Name Necklace | Personalized Couple Jewelry | North & Pearl,"Shop a personalized couple name necklace for anniversaries, partners, and meaningful relationship gifts.",draft
mama-name-necklace,Mama Name Necklace,"<p>A personalized necklace designed to celebrate mothers, children, and family meaning. Material details are pending supplier confirmation.</p>",North & Pearl,Apparel & Accessories > Jewelry > Necklaces,Necklace,"mama-necklace,mother-gift,personalized,mothers-day",FALSE,Finish,Pending confirmation,Length,Pending confirmation,89.00,115.00,deny,manual,TRUE,TRUE,Mama Name Necklace | Personalized Mother's Jewelry | North & Pearl,"A mama name necklace designed for Mother's Day, birthdays, new moms, and meaningful family gifts.",draft
engraved-heart-necklace,Engraved Heart Necklace,"<p>A heart necklace concept for initials, names, dates, or a short meaningful message. Material details are pending supplier confirmation.</p>",North & Pearl,Apparel & Accessories > Jewelry > Necklaces,Necklace,"heart-necklace,engraved,personalized,gift-for-her",FALSE,Finish,Pending confirmation,Length,Pending confirmation,69.00,89.00,deny,manual,TRUE,TRUE,Engraved Heart Necklace | Personalized Heart Jewelry | North & Pearl,"A personalized heart necklace for romantic gifts, family keepsakes, birthdays, and anniversaries.",draft
birth-flower-necklace,Birth Flower Necklace,"<p>A birth flower inspired necklace for personal meaning by month. Design and material details are pending supplier confirmation.</p>",North & Pearl,Apparel & Accessories > Jewelry > Necklaces,Necklace,"birth-flower,personalized,birthday-gift,mother-gift",FALSE,Birth Month,January,Finish,Pending confirmation,79.00,99.00,deny,manual,TRUE,TRUE,Birth Flower Necklace | Personalized Flower Jewelry | North & Pearl,"Shop birth flower inspired personalized jewelry for birthdays, mothers, and meaningful milestone gifts.",draft
custom-name-bracelet,Custom Name Bracelet,"<p>A personalized bracelet designed for a name, word, or meaningful detail. Material details are pending supplier confirmation.</p>",North & Pearl,Apparel & Accessories > Jewelry > Bracelets,Bracelet,"name-bracelet,personalized,gift-for-her",FALSE,Finish,Pending confirmation,Size,Pending confirmation,59.00,79.00,deny,manual,TRUE,TRUE,Custom Name Bracelet | Personalized Bracelet Gift | North & Pearl,"Create a custom name bracelet for birthdays, bridesmaids, mothers, partners, and meaningful everyday gifts.",draft
