Tier,URL,Google Status,Coverage State,Last Crawl,Referring URLs Reported,Crawl Allowed,Indexing State,Canonical Match,INDEX_READY,Next Action
Tier 1,https://northandpearl.com/,Indexed,Submitted and indexed,2026-08-02T21:44:22Z,3,ALLOWED,INDEXING_ALLOWED,True,YES,Maintain; monitor impressions and CTR.
Tier 1,https://northandpearl.com/collections/personalized-jewelry,Indexed,Submitted and indexed,2026-08-03T01:50:42Z,2,ALLOWED,INDEXING_ALLOWED,True,YES,Maintain; monitor impressions and CTR.
Tier 1,https://northandpearl.com/collections/name-necklaces,Indexed,Submitted and indexed,2026-08-03T10:17:11Z,2,ALLOWED,INDEXING_ALLOWED,True,YES,Maintain; monitor impressions and CTR.
Tier 1,https://northandpearl.com/collections/initial-necklaces,Discovered/not indexed,Discovered - currently not indexed,,3,ROBOTS_TXT_STATE_UNSPECIFIED,INDEXING_STATE_UNSPECIFIED,None,YES,Improve internal demand signals and page differentiation; selectively request indexing in GSC UI if Tier 1.
Tier 1,https://northandpearl.com/collections/birthstone-jewelry,Indexed,Submitted and indexed,2026-08-03T09:08:18Z,2,ALLOWED,INDEXING_ALLOWED,True,YES,Maintain; monitor impressions and CTR.
Tier 1,https://northandpearl.com/collections/jewelry-gifts-for-her,Indexed,Submitted and indexed,2026-08-03T08:44:43Z,2,ALLOWED,INDEXING_ALLOWED,True,YES,Maintain; monitor impressions and CTR.
Tier 1,https://northandpearl.com/collections/gifts-under-50,Indexed,Submitted and indexed,2026-08-03T02:22:51Z,2,ALLOWED,INDEXING_ALLOWED,True,YES,Maintain; monitor impressions and CTR.
Tier 1,https://northandpearl.com/collections/gifts-under-100,Indexed,Submitted and indexed,2026-08-03T09:58:30Z,3,ALLOWED,INDEXING_ALLOWED,True,YES,Maintain; monitor impressions and CTR.
Tier 1,https://northandpearl.com/collections/birthday-jewelry-gifts,Indexed,Submitted and indexed,2026-08-03T10:12:02Z,2,ALLOWED,INDEXING_ALLOWED,True,YES,Maintain; monitor impressions and CTR.
Tier 1,https://northandpearl.com/collections/anniversary-gifts,Indexed,Submitted and indexed,2026-08-03T05:50:01Z,2,ALLOWED,INDEXING_ALLOWED,True,YES,Maintain; monitor impressions and CTR.
