Collection,Handle,Primary Intent,Primary Query Theme,Secondary Query Themes,Recommended Page Role,Internal Link Targets,Claim Notes,Priority
Home,index,Brand and category entry,"personalized jewelry gifts","name necklaces; initial jewelry; birthstone jewelry gifts; meaningful jewelry gifts",Brand/category hub,"best-sellers; name-necklaces; initial-necklaces; birthstone-jewelry; gifts; jewelry-care-guide; ai-brand-information","Use only approved brand/category facts. Live homepage metadata gap found on 2026-07-20.",P0
Best Sellers,best-sellers,Gift validation,"best personalized jewelry gifts","popular personalized jewelry; jewelry gifts for her; meaningful jewelry gifts",Discovery and merchandising hub,"gifts; name-necklaces; initial-necklaces; mothers-collection; wedding-bridesmaids; faq","Do not imply actual best sellers unless sales data confirms merchandising label.",P0
New Arrivals,new-arrivals,Fresh discovery,"new personalized jewelry","new jewelry gifts; new necklaces; new bracelets",Discovery hub,"best-sellers; gifts; necklaces; bracelets; earrings","Avoid trend/performance claims unless supported.",P2
Necklaces,necklaces,Product type shopping,"personalized necklaces","gift necklaces; name necklaces; birthstone necklaces; initial necklaces",Main category hub,"name-necklaces; initial-necklaces; birthstone-jewelry; couple-jewelry; gifts; personalized-jewelry-guide","Do not state materials unless product-specific and confirmed.",P1
Name Necklaces,name-necklaces,Personalization transaction,"name necklace","custom name necklace; personalized name necklace; name necklace gift",High-intent collection,"gifts; initial-necklaces; birthstone-jewelry; couple-jewelry; personalized-jewelry-guide; faq","Safe to discuss names/words/personalization. Material and production facts remain product-specific.",P0
Initial Necklaces,initial-necklaces,Everyday personalized gift,"initial necklace","personalized initial jewelry; initial pendant; initial necklace gift",High-intent collection,"name-necklaces; gifts; mothers-collection; wedding-bridesmaids; jewelry-care-guide","Avoid metal/finish durability claims unless verified.",P0
Birthstone Jewelry,birthstone-jewelry,Occasion and family gifting,"birthstone jewelry gifts","birth month jewelry; birthstone necklace gift; mom birthstone jewelry",Occasion/category hub,"name-necklaces; mothers-collection; gifts; birthday gift guide; jewelry-care-guide","Use birthstone-inspired unless actual stones are verified per product.",P0
Gifts,gifts,Gift finder,"personalized jewelry gifts for her","birthday jewelry gifts; anniversary jewelry gifts; meaningful gifts for her",Recipient and occasion hub,"best-sellers; mothers-collection; wedding-bridesmaids; couple-jewelry; gift-cards; faq; shipping-policy; returns-exchanges",Do not promise delivery timing without approved fulfillment data.,P0
Mother's Collection,mothers-collection,Recipient gifting,"personalized jewelry for mom","mother's day jewelry; mom name necklace; birthstone gifts for mothers",Recipient hub,"birthstone-jewelry; name-necklaces; gifts; personalized-jewelry-for-mothers-day; faq","Family/mother gift positioning is safe; materials and shipping timing require confirmation.",P1
Wedding & Bridesmaids,wedding-bridesmaids,Occasion gifting,"bridesmaid jewelry gifts","maid of honor gift; wedding jewelry keepsakes; bridal party jewelry",Occasion hub,"gifts; initial-necklaces; name-necklaces; bridesmaid-jewelry-gift-ideas; shipping-policy","Avoid bulk/arrival guarantees until fulfillment timing is approved.",P1
Couple Jewelry,couple-jewelry,Relationship gifting,"personalized couple jewelry","anniversary jewelry gifts; date necklace; coordinates jewelry",Occasion/recipient hub,"gifts; name-necklaces; bracelets; anniversary gift guide; personalized-jewelry-guide","Coordinates/date personalization is safe where product supports it; avoid material claims.",P1
Bracelets,bracelets,Product type shopping,"personalized bracelets","name bracelet; initial bracelet; charm bracelet gift",Category expansion hub,"gifts; mothers-collection; couple-jewelry; jewelry-care-guide","Differentiate bracelet product pages carefully to reduce duplicate risk.",P1
Rings,rings,Product type shopping,"personalized rings","birthstone ring gift; initial ring; meaningful ring gift",Category expansion hub,"gifts; birthstone-jewelry; mothers-collection; jewelry-care-guide","Stone/material claims require supplier confirmation.",P2
Earrings,earrings,Product type shopping,"personalized earrings","initial earrings; gift earrings; meaningful earrings",Category expansion hub,"gifts; wedding-bridesmaids; jewelry-care-guide","Avoid hypoallergenic/nickel-free claims unless verified.",P2
Men's Jewelry,mens-jewelry,Recipient exploration,"personalized jewelry for men","men's necklace gift; men's bracelet gift",Recipient expansion hub,"gifts; couple-jewelry; bracelets; necklaces","Live/category direction requires catalog validation before heavy SEO investment.",P3
Gift Cards,gift-cards,Last-minute gift,"jewelry gift card","personalized jewelry gift card; last minute jewelry gift",Conversion support page,"gifts; best-sellers; faq","Digital delivery facts must match Shopify gift card setup.",P2
Sale,sale,Discount-seeking shopping,"personalized jewelry sale","jewelry gifts on sale; necklace sale",Promotional collection,"best-sellers; gifts; new-arrivals","Do not over-index sale content unless active merchandising supports it.",P3
